,Title of Review,Review Description,Date of Review,No. of stars
61,Zizzi's Cambridge,"The menu has been reduced removing our favourite items. Seemed to serve mainly pizza. The restaurant was incredibly noisy with young children screaming and uncontrolled by parents. We ordered and waited an hour for our food to arrive. I had king prawn linguini which tasted as if it had come from a Heinz spaghetti tin. If the half a dozen prawns were King prawns they'd shrunk! We were offered a free dessert, but got fed up waiting. Instead we accepted a reduction of one meal from the bill. The only good point was the staff who were apologetic and courteous.","Updated Aug 19, 2022",Rated 2 out of 5 stars
62,Unwelcome greeting,"Tonight 15/11/2022 myself my son and my brother went to Zizzi's in Telford at 8-30pm when we went in we requested a table for 3 the place was nearly empty and looked spotlessly clean but the female member of staff said they were closed for cleaning. Disgusted at the excuse because she wanted to finish early if seemed, so we went next door to Pizza express and were treated wonderfully. Bye bye Zizzi's.","Nov 16, 2022",Rated 1 out of 5 stars
63,Zizzi in Camberley is the best…,Zizzi in Camberley is the best restaurant in town. The staff are extremely friendly and efficient. The food is second to none and always tastes amazing. I can't recommend them highly enough.,"Feb 17, 2023",Rated 5 out of 5 stars
64,Poor,"Poor, imagine my disappointment at receiving such poor quality food, if this is the standard of from Zizzi’s takeaway menu this will be the first & last time I will order. Burn offerings is not what I expected from this restaurant. I even emailed them like they ask customers to do if you’re not happy but no reply or response from Zizzi, how sad 😔 PLEASE BEWARD BUYERS CHECK YOUR FOOD !!!","Updated Dec 1, 2022",
65,Not good,Ordered 2 -  6 layer lasagne - nothing like shown in the menu -  60% sauce - little meat - add a bottle of beer and a bottle of cider £42 - when has a lunch time treat cost this much !,"Jun 8, 2023",Rated 2 out of 5 stars
66,Bromley zizzi,We visited the branch in Bromley br1 and the service and the food was superb.The manageress of this branch couldn't do enough for you very warm and friendly proper customer service..The staff were great and the food was fresh and good quality and great value for money..Don't think about going...JUST GO ..,"Mar 8, 2023",Rated 5 out of 5 stars
67,Bad service,"Went 13/09 with my son.We actually stopped going in derby Derbion Zizzi because staff is very rude specially the lady supervisor.But my son wanted to go today so been in after long time but no good greeting and been fired with we don’t take cash.Very unfriendly atmosphere gives you the feeling they doing us a favour serving us…That restaurant needs good management,lost again a customer.","Sep 14, 2022",Rated 1 out of 5 stars
68,Rude manager and untrained staff,"Poor customer service, rude manager, clearly servers are not trained in when discounts can be used or how to split a bill. Advised we could use the discount prior to ordering, once the bill arrived advised the discount wasn’t valid on that day. So the meal cost more than expected and the manager was very rude about it saying ‘it’s just one of those things’. He ignored us when trying to speak to him. Just lost regular customers to Zizzi’s there.","Nov 19, 2022",Rated 1 out of 5 stars
69,Dined at Lancaster,"Dined at Lancaster , one member of staff was  rather  abrupt with us and she seemed overall rather annoyed when taking our order  and clearing plates and was very abrupt when a member of the party asked a question about what they had ordered. However, this was made up for by a lovely gentleman ( I would presume was the manager) who was very friendly and made up for the other poor service, nothing was too much trouble for him, he undoubtedly saved  the experience . Food was good with decent portions , I would say experience will depend on which waiter you get.","Aug 27, 2022",Rated 3 out of 5 stars
70,Unfortunately I ordered pork belly,"Unfortunately I ordered pork belly, the meat was really dry vegetables over cooked and under seasoned. The staff were rushed and miserable bordering on rude. Would not except my blue light card even though it said it was welcome online, neither would they except tesco vouchers. Very poor experience and expensive.","Sep 17, 2022",Rated 1 out of 5 stars
71,Oven roasted not Charcoaled to death,"Chicken Calbrese -  Oven-roasted chicken breast with a harissa marinade in a roasted pepper, tomato & spicy ‘nduja sauce. Served with cubetti diced potatoes and mascarpone 🤔🤔Came out on a sizzling skillet, presented in front of me 😱Oven roasted chicken - burntRoasted pepper, tomato - burntSauce - non existent Diced potatoes - burnt & stuck to the panMascarpone - melted into insignificance. Our server asked if everything was okay, I mentioned that it ‘looked a little burnt’, ‘oh sorry’ and walked away. Nothing about what I change it, let me get my manager. It’s not like me, but I should have returned the dish but out with my daughter who was paying, I felt embarrassed to do so. Been to this establishment before and had a nice, edible meal.Sorry Zizzi, once bitten!! No favourable review from me!","May 3, 2023",
72,Meadowhall,MeadowhallFood blunt basic and bland I can cook with more finesse myselfWatery tasteless risottoPizza had large under cooked chunks of vegetables with lumps of cheese dropped on it blunt and basic Coffee in an Italian restaurant should be good but we got dishwater with milk Way to expensive Brought the wrong dish Food brought before drinks and long wait Never again !,"Feb 25, 2023",Rated 1 out of 5 stars
73,Chicken,"Chicken calabrese was dry & no sauce at all as presented on the menu, when we asked for some sauce, a little pot of raw pizza sauce was brought. The all green risotto was a child's portion on a giant plate, No Garnish like shown on the Website with a Slice of lemon etc...what you see on website is not was is served. Service Staff were Polite, professional & courteous but did not ask if the meal was fine once served. Overall I will give Zizzi a miss on the basis of bland, misleading advertising and not value for money meals at £45 on a quiet evening midweek.","Dec 22, 2022",Rated 1 out of 5 stars
74,Dissapointed,"Was it us or were we not made to feel very welcome at Henley on 20th August? The service was slow (were they really that busy, there were lots of empty tables?) and the food was a tad disappointing. But then our big concern was when we came to pay the bill - credit cards could not be accepted!! Whilst we might sympathize we don't carry much cash but managed to find just about enough so did not have to wash the dishes (-: Not a good experience.","Aug 22, 2022",Rated 2 out of 5 stars
75,I went to zizzi in Bradford,"I went to zizzi in Bradford. It was a bad experience for such a popular restaurant. We went in for a table and the lady searing us wasn't sure where to seat us even though there was no one in the restaurant and had to go ask a colleague where she should sit us. I ordered the bruscetta to start and it was literally tomatoes on toast, no onions and no balsamic vinegar. The main was just ok, nothing special. When we wanted another drink, we had to leave our table to find a server, to find them all stood in a corner just talking a laughing. Same again when we wanted the bill, had to leave the table to find a server. It was as though no one was interested in keeping the customers happy, no wonder it was empty. Was my first and last experience at zizzi.","Nov 1, 2022",Rated 2 out of 5 stars
76,Zizzi Taunton 29/07:- meal out with…,"Zizzi Taunton 29/07:- meal out with friends spoilt when, at 21:30 on a Friday night we were told that we could not order drinks because the restaurants alcohol licence didn’t extend beyond 21:30! Do not believe this for one moment. We then tried to order a hot drink instead, at which point we were told they were closing at 22:00 and we could not do this either, so feels even more that they were lying to us. Waitress finished by asking us if we would like the bill now?! Would have been more polite to come over to us and say we are closing at 10pm is there anything else we can get you so we were forewarned. At 21:40 a workman then started drilling the floor next to our table!Talk about being made to feel unwelcome as well as being lied to. Very disappointing experience.","Jul 30, 2022",Rated 2 out of 5 stars
77,"Friendly staff, good food and nice atmosphere  on…","A friend and I went for dinner in Zizzis, Farnham on Saturday evening. All the staff and the manager were friendly, helpful and fun. The food was really good, the restaurant was quite spacious but had a nice cosy atmosphere. We really enjoyed our evening. Thank you 😊","Updated Oct 16, 2022",Rated 5 out of 5 stars
78,Zizzi Hampton Court,"Zizzi Hampton Court - The meal and service was generally good.  I ordered the chicken Milanese, which I have had before and it was delicious but this time I was served what looked like a giant chicken nugget, not a chicken breast but reformed chicken with breadcrumbs... The chef then had the cheek to tell me that it was a butterflied breast of chicken that had been banged out.  It was not a chicken breast !  Overall disappointed with no reduction in the bill either... will not be returning","Aug 19, 2022",
79,"Great Manager, bad food.","Karolina the Manager of One Change Place (near St Paul's) was great, sadly the food itself was not. A group of four of us all had the festive set menu, and whilst it is great value, the food was below par. Two of the mains (belly pork) was so coated in oil you could see the puddle when the plate was moved, we asked for new mains and these did arrive quickly but the point of enjoyment for food was out the window by then. The belly pork main also came with limp looking chips rather than crispy small potatoes. It was clearly a bad day in the kitchen for the chefs. One of the desserts (sticky toffee pudding cheesecake) was without the toffee sauce as described leading it to be dry. Service for drinks was slow too, and we had to ask for drinks on numerous occasions before they arrived. Overall, I wouldn't go there again, and wouldn't recommend. Their only saving grace is that they have a front of house Manager who has excellent customer service.","Dec 2, 2022",Rated 3 out of 5 stars
80,I ordered a Vegan green risotto and was…,I ordered a Vegan green risotto and was SO disappointed as the portion size was teeny and clearly too little a portion for a main. It was topped with lots of lettuce which felt was a deliberate attempt to disguise it! I shall not be returning again and used to enjoy Zizzi’s. Frankly pathetic,"Oct 28, 2022",Rated 2 out of 5 stars
81,The food was horrible and tasteless,The interior and staff was very nice but the food was just horrible. We had a starter that was supposed to be bruschette and they brought us ordinary piece of toast with a topping that you can easily make at home. The only thing I could taste on pizza was this horrible mascarpone (which shouldn’t even be on pizza) and my partner’s chicken dish wasn’t any better. I’m sorry to write a negative review and I’m even more sorry to leave food on the plate but we both couldn’t even finish the food. I don’t recommend the restaurant to anyone who likes nice food,"Feb 14, 2023",
82,Zizzi Salisbury,"Zizzi Salisbury, stood at door to be seated for ages. Ordered Herb rolled porchetta pork belly with crispy crackling and Roquito hot honey. Served with rainbow heritage carrots, garlic spinach and cubetti diced potatoes… I got tiny piece   pork belly. 1 million potatoes two pieces of chopped carrot. Less than a spoon full of spinach. And a bite worth of crackling. Not at all worth 17 quid. Was not happy at all will not be going again","Jun 5, 2023",
83,I have had an incredible time,"I have had an incredible time. We booked a table for 40 people and the service was incredible, staff were so friendly and the whole night ran really smoothly! Thank you so much Lilian and Eszter for giving us an incredible night xx","Jul 15, 2022",Rated 5 out of 5 stars
84,Lovely restaurant in Sevenoaks,"Lovely restaurant in Sevenoaks, food and customer service was great! I would definitely recommend.","Sep 29, 2023",
85,No stars - Humiliating experience,"I visited Zizzi, Greenwich on 5/9/2022. Food was average, tip added to bill and after paying this left restaurant to be chased by a waitress accusing us of leaving without paying. This was humiliating with people watching, no apology and she ran back in. I’ve emailed Zizzi with no response. This was unacceptable service.","Sep 19, 2022",Rated 1 out of 5 stars
86,"If there is zero star, that will be my rate","If there is zero star, I will definitely choose it. 1. Made wrong order of drink 2. Missed out the starters of kids meal. 3. Poor quality of food 4. Terrible customer service - the worst restaurant experienced so far.","Updated May 6, 2023",Rated 1 out of 5 stars
87,I have always wanted to visit zizzis at…,I have always wanted to visit zizzis at birstall but after today I will not be going back our party arrived at 7 it took 40 minutes to get a drink starters arrived at 9pm mains arrived at 9.25 and desserts arrived at 9.50 most people did not eat them as it was too late the restaurant was freezing so no cosy atmosphere my advice to anyone wanting to visit this place is don’t,"Dec 4, 2022",Rated 1 out of 5 stars
88,Unbelievably shocking!,"Uncleared tables and mess left on the floor despite there being 4 staff members present and just 5 customers! Food served without advertised ingredients (we were told they did not have the missing one after the server returned to the chef). Staff member doing serving stood chatting with another member of staff with our food in hand. Loads of chatting between staff, one of whom was eating food behind the counter. Staff coats on chairs in restaurant and no uniform or badges. It looked like friends were being given free takeaways. Something odd seemed to be going on! Delivery guy (supposed) walked behind bar in coat like he owned the place. If I owned this company I would be getting a grip with seriously poor management. The only positive was the fairly clean toilets.","Nov 15, 2022",Rated 1 out of 5 stars
89,Lunch,"Lunch, Bournemouth branch today & used birthday voucher. Great service, nice atmosphere & good food. Brilliant. Will return.","Nov 3, 2022",Rated 5 out of 5 stars
90,Zizzi Taunton - Excellent,"Zizzi Taunton. Excellent food, excellent choice, great service. Our first visit - won't be the last!","Jul 19, 2023",Rated 5 out of 5 stars
91,Dishonest manager,"Dishonest manager - Nick - at Zizzi Hull/St Stephens. Not impressed. Specifically asked a staff member about using Tesco vouchers for the meal deal menu before ordering from this menu and was told it was fine. Also asked another staff member about using Tesco vouchers when I first entered the restaurant, and they said 'just use your vouchers when paying'. Nothing about special menus and exempted items etc etc. Manager point blank refused to accept the vouchers for the 4 meal deals we had ordered, and physically split the order into separate bits (even though the separately ordered items are a larger item), and we had to pay for these items. We simply would not have ordered the meal deal if they were not payable with the vouchers! Poor manner. Not willing to listen. Not sure why we had to suffer for the mistake of their staff... Not recommended.","Apr 15, 2023",
92,Dishonest manager,"Dishonest manager - Nick - at Zizzi Hull/St Stephens. Not impressed. Specifically asked a staff member about using Tesco vouchers for the meal deal menu before ordering from this menu and was told it was fine. Also asked another staff member about using Tesco vouchers when I first entered the restaurant, and they said 'just use your vouchers when paying'. Nothing about special menus and exempted items etc etc. Manager point blank refused to accept the vouchers for the 4 meal deals we had ordered, and physically split the order into separate bits (even though the separately ordered items are a larger item), and we had to pay for these items. We simply would not have ordered the meal deal if they were not payable with the vouchers! Poor manner. Not willing to listen. Not sure why we had to suffer for the mistake of their staff... Not recommended.","Apr 15, 2023",
93,Disappointing Level 2 Southampton,"The servers were friendly and polite, however the quality stopped there. We were a group of four having lunch at 3 p.m..The order consisted of  1xChicken Prosciutto Salad, 1xClassic Pinole, 1xMeatballs Casareccia and finally a Chicken Risotto. The first two choices were enjoyed, however the second two were very disappointing.The meatballs were almost purified and the rich sauce non existent, liberally sprinkled with dry tasteless breadcrumbs. Two mouthfuls, the rest was not consumed. The risotto was the worst I had ever consumed and did not appear or taste as good as the menu described. It was watery, it lacked flavour and the leeks were tough.On receiving the check, the server was very understanding and reimbursed us for one dish, though I think it should have been for the two so called hot dishes.Considering the tables covered at that time of day, about 5, with no pressure on the staff, you would think the quality of all the food would have been at least 99%.I doubt, by the reviews I have read and my experience, that I will attend Zizzi again.Thank you.","Feb 21, 2023",Rated 2 out of 5 stars
94,Absolute Disgrace,"Went to Zizzi in The Light Leeds as a little treat for myself and my partner. Staff were mostly okay and we had no problems getting our orders taken, however the real problems started when the food arrived -Garlic bread was soggy, covered with what looked and tasted suspiciously like marmite (though I think it was supposed to be chutney) As for the main’s, we both ordered pasta dishes and honestly the quality was that of supermarket microwave ready meals - tiny portions, waterlogged, soggy sauce and zero meat. Baring in mind this place is not cheap - with a drink the bill came close to £50 and I have never felt so ripped off. Honestly the worst restaurant I have ever been to, I don’t know how they get away with it.","Dec 17, 2022",Rated 1 out of 5 stars
95,Very bad experience,"Went to zizzi at Cardiff st Mary, what an awful experience. The staff were  very few and we had to call them when we wanted anything like to order. Then my sisters and my meal came out with hardly any food in the dish and cold , so we sent it back then they brought it back with more food but mine had long black hair in it I just couldn’t eat it and when we told them they said ok we take it off the bill with no apology what so ever . I will never eat here again .","Apr 8, 2023",
96,I am quite sure where to start but…,"I am quite sure where to start but let's start with where it ended. One hour waiting and nothing to accompany us as we exited apart from an empty stomach. Chaotic. Obviously Zizzi are hiring, not training and are leaving inexperienced people to run their restaurants. What do you expect? What a pity. I wanted that pizza so much but it was as elusive as Boris Johnson's Brexit promises for the NHS. Empty. I am pissed off.","Jan 26, 2023",Rated 1 out of 5 stars
97,Went to the Zizzi at Katherine’s docks…,Went to the Zizzi at Katherine’s docks late in the evening. We ordered a dessert. The waiter took our order and looked unimpressed. Soon the manager arrived and said that they cannot serve just dessert and we will need to order a full meal! The restaurant wasn’t crowded at all. When I asked for the reason he very unapologetically said that’s the rule and walked away! By then the waiter had already lifted the cutlery from the table too! God save them! I saved myself from calories!,"Apr 21, 2023",
98,Disappointing that they cannot read informatiom,"a group of 4 of us tried to eat at Zizzi's yesterday (newcastle) what a shame but we had to leave. We have frequently eaten there and have had good food and service but on this occasion there was a problem.My daughter is allergic to garlic, garlic is not an allergen that is listed and previously we have just checked / asked if it is included in the ingredients i.e. does the chef put it in or if a pre prepared sauce is it listed in the ingredients. Simple you would have thought. BUT obviously Zizzi's chef are no longer able to do this. We were told they could not say if it was or wasn't in the dish. This was also confirmed by the manager. What is the world coming to when someone can no longer eat out because people cannot read simply information.We ended up at Miller and Carter for a delicious meal where our server was charming.","Jul 9, 2023",Rated 1 out of 5 stars
99,"Awful,just awful","Dirty restaurant, cold tasteless food, staff embarrassed to be there. The crowning glory was when we asked an allergy question, we were told BLUNTLY we don't know what's in the food. Instead, a dead flower, yes, a dead flower was stuck on our table with the label -ALLERGANS - DO NOT ADVISE. What's next folks? A yellow star. We won't know - we'll never be back","Feb 6, 2023",Rated 1 out of 5 stars
100,Everything but italian food,"Food took way too long to be put out, cold, i had ordered pasta bolognese and it tasted like a bad marinara sauce. How can you call yourself an italian food serving restaurant and not even come close to itDo not recommend.","Nov 21, 2022",Rated 2 out of 5 stars
101,Awful customer service,"Awful customer service. Turning away 9 people for absolutely no reason at all, clearly they just didn’t want more customers with an hour left till closing. So rude and not the way to get customers. Zizzis in Westfield white city.","Dec 28, 2022",Rated 1 out of 5 stars
102,"Chicken milanese, I mean Chicken Nugget","I asked for a chicken milanese and got a giant chicken is nugget for £15.55 ... also, the toilets are always absolutely disgusting 😔 - Sadly I won't ever come back and will let all my friends and family know too. Experience on Zizzi Cambridge Regent Street","Sep 18, 2022",Rated 1 out of 5 stars
103,Ragu Rip off at Cheshire Oaks,Went for Sunday family meal at Cheshire Oaks Zizzi. My wife and I ordered the signature dish Ragu Pasta at £16 each. The portion size was ridiculously small and the Pasta was dried out and almost inedible. . The staff did not come to check back so we could only give feedback 15 minutes later after it was served. When we did complain the manager said “I know everyone is complains about that one”…..so if you know about it why on earth do to keep serving it???. Terrible customer service and terrible food that is not worth the prices that they are charging.,"Apr 23, 2023",
104,Risotto poor value for money,"Yesterday I ordered the vegan greens risotto inn the Westquay branch in Southampton and was very disappointed. The rice was not al dente, it was undercooked and chalky. Also the portion was not an adult one. I could not delay as I had a bus to catch (train strike) so did not send it back In the past I’ve always enjoyed my meals in Zizzi but not this time. When I mentioned to senior member of staff, I got an apology, but no more. Really poor value for money.","Oct 2, 2022",Rated 2 out of 5 stars
105,Been going to Zizzi for years always…,Been going to Zizzi for years always not bad for what you spend but what I cant understand is they send me a unique code for let’s say free starter my wife and a friend also get there own Unique code when it comes to the bill I have to argue with management because they say it’s only one per table?  So after arguing it doesn’t say per table if we all pay on separate bills they have to give us our free starter because we all have unique codes needs to be explained more to much stress for a free starter,"Oct 27, 2022",Rated 4 out of 5 stars
106,Horrendous,"Horrendous! Is this even an Italian? Spaghetti bolognaise come out cold. couldn’t find any meat in it what so ever, no flavour it was just like tomatoe flavoured water pooling in the bowl. My friend ordered a dish with salmon and the salmon was gone! really funny smell and taste! Would not reccomed.","May 31, 2023",Rated 1 out of 5 stars
107,Restaurant too cold,"Hi, we came out for a family meal and your restaurant was freezing cold. People were eating with their coats and in some cases hats and scarfs. My poor granddad was so cold he was shaking so I gave me my coat on top of his and my sister gave hers for his legs. We were both so cold and impossible to enjoy the experience The food and my coffee went cold quickly. I understand the energy crisis but you can not expect people to pay a high price pizza and sit there with their coats on. Until this crisis is a whole lot better I will not be coming back. Very disappointing experience.","Jan 23, 2023",
108,I order some spaghetti bolognaise and…,"I order some spaghetti bolognaise and linguine from Romford but I think they forgot to add the sauce and the meat. I literally paid for boiled pasta. I know most of people don’t put a lot of sauce or meat but this is absolutely disgusting I received white pasta not a little colour, no meat absolutely 0 meat!!!!!!!!!! They don’t even deserve 1 star! You better order from Tesco is 1000 times better and cheaper! I order from a lot of bad restaurants but this one is the worst! Don’t waste your money here!","Nov 8, 2022",Rated 1 out of 5 stars
109,Very badly managed,Cardiff Bay Zizzi. Very badly managed. Asked for one table but we’re given two even though there was a large table empty there for the whole of our visit. Waiter was lovely but food came over a period of 15 minutes. Manager seemed very disorganised.,"Jul 24, 2023",Rated 1 out of 5 stars
110,Okay menu for an okay price,"Okay menu for an okay price. Forced to order through their webpage with no internet receiption. My email is instantly used to spam my e-mail on a daily basis,  annoying!","Mar 22, 2023",Rated 3 out of 5 stars
111,I really wanted to enjoy another Super…,"I really wanted to enjoy another Super Salad like the one I had in Marlow in 2020, but the Princes Square in Glasgow 2022 salad fell short by a long shot for £12.99! Although the staff were helpful the salad was meagre. Sorry ZiZi nil points!!!","Sep 25, 2022",Rated 3 out of 5 stars
112,I had the Zizzi 6 layer lasagne,"I had the Zizzi 6 layer lasagne, when it came out, I was quite surprised to see that it was a shallow bowl of lasagne, no way was it 6 layers, also the breadcrumbs were so hard I had to break it up to eat it. Wasn't the best meal I have had.","Nov 20, 2022",Rated 2 out of 5 stars
113,Fab meal as always at Zizzi in Gandy…,"Fab meal as always at Zizzi in Gandy Street, Exeter. Pizzas the best. Ellie who served us (twice in the last 2 months) was great. Polite, helpful & great at her job. Be back soon.","May 20, 2023",Rated 5 out of 5 stars
114,@ the Strand. Better communication and/or empathy could have avoided a frustrating situation,"@ the Strand, LondonNot wheelchair or pram accessible. Requires you to take a narrow staircase from the entrance downstairs to the restaurant. After carefully manoeuvring our pram to the basement floor, we were told they was no availability that afternoon, only prebookings. That part would be ok if they bothered to put a sign upstairs instead of us having to make our way downstairs with something heavy, in addition to the unapologetic/unsympathetic manner of the waitress after seeing us labour our way down and back up again.","Dec 29, 2022",
115,Honestly shocking!!!!,"Honestly shocking, the foods not great as it is but the customer service is horrendous! I ordered from Zizzi in August, had a problem with the food due to the menu being incorrect. I emailed the store and they told me I’d get a reply in 5 days by some ‘operations manager Tom’ never heard back, I then emailed head office a month ago explaining and now I’ve just had to email the 3rd time. If they had replied I probably would have dropped it but because of the pure fact they’ve just knocked me aside it now leads to this. The food isn’t worth the hassle. I much prefer pizza express, prezzo and all of the other reasonably priced Italians. Don’t bother going","Oct 27, 2022",
116,Zizzi's Cheshire Oaks,"Zizzi's Cheshire Oaks, food was good but many desserts not available and coffee machine switched off at 9.30pm so no coffee to accompany dessert.","Dec 17, 2022",Rated 3 out of 5 stars
117,"Cold, poor quality food","Cold, poor quality food, 5mins before collection.  Must have been sitting around for some time!  Waste of my time and money.  Won’t be long before this company disappears from the high street, thankfully!","Apr 30, 2023",Rated 1 out of 5 stars
118,Zizzi Canterbury.,"Had a meal at zizzi Canterbury today,  the food was pretty shocking, bland pasta dish, and greasy oil soaked pork belly, service was also very poor, waiter was mostly absent, maybe he was new, either way they really need to up their game, certainly won’t be going back, or recommending them.","Jul 29, 2023",Rated 1 out of 5 stars
119,Won't Be Back,Visit to Haywards Heath branch.  Beef ragu dreadful.  Both on first receipt and on the remake.  Pasta hard and chewy.  Rich beef and tomato sauce?  No.  Cheap mince and watery sauce.  And then via online searches you find that there are loads of reviews for the beef ragu just like my experience.  Time for a change?,"Jul 18, 2023",Rated 1 out of 5 stars
120,Zizzi Wigmore St London,"Zizzi Wigmore St London. Ran out of pizza bases, ran out of garlic bread, took an hour to get the starter and an hour to get the main and then were refused pudding as they were clearing up 1/2 hour before closing.","Nov 27, 2022",Rated 1 out of 5 stars
121,Poor booking service.,Discussed with the service we received. The mother-in-law booked over the phone at your Colchester restaurant for 10 people for my father-in-laws birthday .when we arrived the claimed their was no booking. And being a Saturday they had no space to fit us in.,"Nov 27, 2022",Rated 1 out of 5 stars
122,Cambridge Benedict Street,"Cambridge Benedict Street, very poor customer service!Waitress had long hair loose and tables are close together so when serving the table next to me her hair was very close to my food. Hair should be tied up. I was not asked once if my food was okay. The food was not okay and overcooked pasta. Are they not supposed to be pasta experts! I did not have time to wait for a new dish to be cooked due to attending a concert. They were not busy at the time due to it being early evening. When the waitress collected my food I mentioned it because she still did not ask if everything was okay. She told the manager and the manager did not come over to apologise. They did however take the food off the bill and I am grateful for this and did not ask for it but don’t they want customers to return. What has happened to customer service in this country?","Feb 25, 2023",Rated 2 out of 5 stars
123,Pure disgrace,My whife ordered 3 pizzas and salad. 2 pizzas was burnt to ashes. Salad was missing prosciuto. Pure disagrace will never order again. Wish i could add photograps so people could see this miserable view.,"May 16, 2023",Rated 1 out of 5 stars
124,Biggest insult to pizzas ever,"Ordered a rustico  pizza at Zizzi at Westfield's London.I am lost for words. How can anyone pass this dried up crispy flatbread thingy with a few toppings spread around as a pizza, absolutely shocking. An insult to pizzas for £16.75Get a life and a new head chef.","May 9, 2023",Rated 1 out of 5 stars
125,The staff at the Port Solent branch are…,The staff at the Port Solent branch are always helpful and accommodating and give efficient fast service.,"Aug 19, 2023",Rated 5 out of 5 stars
126,Disappointed :(,"I went to the Wycombe branch with my family. I hadn't been to any Zizi for a number of years.You couldn't fault the staff. We were warmly welcome and the lovely waitress who served us and the manageress were professional and attentive. The food on the other hand was a real let down. The portions ( starters, pizzas and puddings) were huge but the taste not so much. The softails were not really that nice either. The restaurant didn't appear very clean in places. We sat at the back of an unclean glass screen with a ledge, with accumulated dust and bits of rubbish. Toilets were ok I guess, just a bit run down. Sorry Zizi I just wouldn't come again. 5 stars for the staff but 2 stars for the food.","Sep 18, 2022",Rated 2 out of 5 stars
127,We went to Zizi in Batley,"We went to Zizi in Batley , customer service was just ok , but that’s it . poor hygiene , dirty tables , forks and spoons were veeery dirty . I’ve ordered pasta with king prawns , however all I had was horrible pasta without any salt in it and 5 small prawns which were overcooked. My partner ordered chicken Milanese for 15.55!!!!! And there is no sign of chicken it was massive chicken nugget which you can get from Aldi for £3 , same as fries and broccoli were very hard ( not cooked properly ) First and last time visiting this place ! Absolutely disgusted -1/10","Oct 28, 2022",Rated 1 out of 5 stars
128,Zizzi Reading,"Great food - Bad experience!My wife and I get to go out a couple of times a year. This year, we feel let down by our experience.We arrived at 9.05 and somehow managed to get served out drinks, appetizers, starter and main all by 9.23.Whilst the speed of service might seem good. Everything's just kept seem to arriving before we had finished what we were eating. We felt so rushed and it was obvious they wanted us out so they could start closing. That would be fine, but we were told the kitchen closed at 11pm. Pretty crap for a Saturday night. It really ruined the evening!","Nov 27, 2022",
129,Zizzis Cheshire Oaks-AVOID,"Went to Zizzis Cheshire Oaks for the bf birthday and what a waste of time and money! Starters were good but our main meals were a disgrace! Had to wait 15 mins for a drink, I ordered a Super Zucca Salad, came minus chicken, dressing and goats cheese, basically £15 for a plate of leaves! And my partner had the garlic meatball dish, which looked like a pile of mushy meat!! To top it off got over charge £45 at end of night which meant me having to hound staff to reimburse whilst nearly missing our taxi!!! All in all worse experience ever!!","Sep 16, 2022",Rated 1 out of 5 stars
130,Zizi Haywards Heath,"Zizi Haywards Heath. I went in on 15th or 16th February and again on 21st February. I emailed Zizi feedback and heard back from Robert who said he’d be in touch after investigating what happened. NOTHING TO DATE.The waitress serving us was inexperienced and extremely rude. Plenty of space though wouldn’t allow us to sit in at 8pm saying they were closing at 9.30pm?! My 12 year old was hungry. Ordered her a T/A pasta dish with no sauce. It came with melted Parmesan on top and when I queried it as usually Parmesan is on the side. The waitress argued and told me that I hadn’t asked for the Parmesan on the side and of course cheese melts! No napkins. Wearing jeans with huge holes in the knees, literally arguing and long wavy hair flowing about. It was quite an unbelievable experience. Often the heating is broken as it was again on 21st February. Eating with our coats on!","Feb 24, 2023",Rated 1 out of 5 stars
131,Pizzas burnt to ashes,Ordered 3 pizzas and salad. 2 pizzas get into a bin straight after as was burnt into ashes.  Also they missed adding prosciutto into my salad.  This is not Zizzi we remember. Will never order again.,"May 16, 2023",Rated 1 out of 5 stars
132,Rushden Lakes,"Our waitress Gosia at the Rushden Lakes was fabulous.  So kind, friendly, lovely attitude and efficient.  Made our experience exceptional!","Aug 19, 2023",Rated 5 out of 5 stars
133,We arrived at 5.30pm as booked,"We arrived at 5.30pm as booked. The booking email said we would have 90minutes available at our table. No starter, main meal finished at 6.20 pm. We then ordered waffles for dessert. By 7pm it hadn’t arrived, despite being promised 3 times it was nearly ready. It arrived at 7.10 pm. Very nearly missed Moulin Rouge which started at 7.30. Several other customers who had ordered food left without eating because it took so long. Staff were polite but nowhere near enough of them. I’d never use zizzi again.","Feb 25, 2023",Rated 1 out of 5 stars
134,Food in my hair,Food in my hair. Chefs weren’t wearing hair nets and hair was loose. Food was over salted and drinks were plain and tasteless. Took ages to take our order while staff were standing around doing nothing or on mobile phones.,"Sep 11, 2022",Rated 2 out of 5 stars
135,had a bad experience at zizzi haywards…,had a bad experience at zizzi haywards heath. Buygift voucher was meant to be for a 3 course set menu ended up been £42 in credit for a voucher that cost £50 So dont even get 50 credit like that makes sense. The whole meal cost 65£ total for only 2 courses.  Did not even cover 2 courses for 2 let alone 3. The service was slow at over 2 hours. The food was poor quality. sauce and seasoning bad all round small portions. You can do better elsewhere even at chains for sure.,"Jan 13, 2023",
136,Disappointed this time,"This is the second time i have visited.  The first time the Calzone pizza was lovely. I asked for a vegetarian one the second time it was not so good.  It was flat not so big and hardly had any mozzarella in it was more dough than vegetarian.  My partner had the  Rigatoni Del a Casa, which he thought was mistaken for a starter.  For near £16 was pretty poor.  Again too they were short of staff???  We also wanted ve meatballs the same time as the ve pasta was coming out, they got that wrong too.  Nice lady apologised for the error and did give the meatballs free.","Jul 12, 2022",Rated 3 out of 5 stars
