,Company Name,Title of Review,Review Description,Date of Review,No. of stars
79,Franco Manca,Horrible staff,"Horrible staffExtremely rude staff upon entry. Very busy and understaffed. We merely walked a little past the queue just to see how long it was (fully intending to go back to our position) and were snapped at by a waitress to ‘get back in the queue, can’t you see there is a line.’ I didn’t feel the tone used was welcoming nor necessary. We left immediately. Will not be coming back again.","Jan 22, 2023",Rated 1 out of 5 stars
80,Franco Manca,Came to this fantastic little…,Came to this fantastic little restaurant in Ealing. Lovely location. Food. Bellissimo. And I must add if you want the best coffee ever get Olivia to make it. !! Yum,"Jul 28, 2022",Rated 5 out of 5 stars
81,Franco Manca,Always nice,Used many times while in London and always had great food .Better variation of pizzas would be great but still excellent and reasonable,"Oct 31, 2020",Rated 5 out of 5 stars
82,Franco Manca,Shockingly bad service,Shockingly bad service. Not only so late to get our pizzas but had them come at totally different times and one was missing. Ordered chocolate ice cream and got vanilla. The Bournemouth branch manager is to blame as her excuse was that it was busy (3 tables so not true & an insult to our intelligence )  and the waitress 1st day ( she was not cooking) and we can have the missing pizza as takeaway???? Shocking. It was a day out for children - some ate whilst the others waited for nothing. Will not ever go back unless something is done about the Bournemouth so called manager who did not care and was jist hanging around the back,"Jun 2, 2022",Rated 1 out of 5 stars
83,Franco Manca,Terrible,"The service was unbelievably bad, and slower than I could've ever thought possible even though the restaurant was empty. Considering the menu is so small and the pizzas are supposed to be traditional we had to wait over an hour for food and that was on top of having to wait over 30 minutes for our order to be taken. When the food arrived it was cold, lacked any flavour and was quite possibly the worst margarita I have ever eaten which is odd as im not sure how you can mess up a margarita when thats your speciality! The ambiance was non existent and the staff were completely disengaged. Needless to say we won't be going back.","Aug 8, 2021",
84,Franco Manca,Worst pizza ever,Been to 3 franco manca all soggy pizzas how complicated is it to make a pizza when all they do is pizza won't be going again.  They'll all close down soon the British public are not as stupid as this restaurant think .,"Apr 13, 2022",Rated 1 out of 5 stars
85,Franco Manca,Not returning!!,"We went with my family on a workday restaurant was empty as it was during working hours, the waiter was extremly rude and told us if we don't have a QR scanning app we can't dine neither inside or outside.. So I am willing to share with the management, since you are so into the QR tracking then you can loose me as a customer and many more to follow. Dining out has turned a track and trace. However I can survive without dining at your restaurants - you can't survive without us customers so thibk what is your priority, obeying to politicians or doing what you do because you do it for the people!","Jul 15, 2021",Rated 1 out of 5 stars
86,Franco Manca,"Poor service, Richmond restaurant","My wife and I went for a pizza at 5pm last night, the restaurant was 1/4 full. As others have mentioned the service was extremely slow and staff disinterested. We waited for over 40minutes for a couple of pizza’s, when it finally arrived the pizza was Luke warm/cold. We were so hungry we couldn’t be bothered to complain and to have to wait for who knows how much longer. It looked to be a manager who brought us the Pizzas, surely she knew the pizzas were cold. We noticed a good few deliveroo/ Uber delivery drivers waiting for pizza, no idea if this was a possible cause for the poor service, there seemed to be an ample amount of staff. Well I can safely say I won’t be returning instead I’ll go to Pizza express across the road","Updated Nov 22, 2021",Rated 2 out of 5 stars
87,Franco Manca,Lovely food,"Lovely food, kind staff and beautiful decor. Had spicy pizza and sharing meat platter between the two of us and it left us stuffed. The flavours were divine! Good vibes all round.","Feb 6, 2023",Rated 5 out of 5 stars
88,Franco Manca,Avoid the UberEats option,I had a complaint. It has now been dealt with very effectively and nicely. I still would not use in conjunction with UberEats as there is no refund mechanism.,"Updated Feb 18, 2023",Rated 4 out of 5 stars
89,Franco Manca,Not gluten free,This restaurant advertised gluten free pizza on a fully gluten free base. As a coeliac myself I was very exited to try gluten free sour dough pizza however it turns out that the pizzas ARE NOT actually gluten free and there is gluten flour in the air and  will be on the pizza itself. So if you’re gluten free this is not this is not the restaurant for you! Really disheartened me.,"Sep 23, 2022",Rated 1 out of 5 stars
90,Franco Manca,Had a lovely pizza & tuna salad at…,Had a lovely pizza & tuna salad at lunchtime with my friend. Delicious food. Server was a lovely young lady & I'm so sorry forgot to leave a tip.,"Jul 3, 2023",Rated 5 out of 5 stars
91,Franco Manca,I don’t usually do reviews but tonight…,"I don’t usually do reviews but tonight I feel to share my experience.The pizza was great as usually, although the table next to us were so noisy!! Keep shouting all night!!","Nov 16, 2021",Rated 3 out of 5 stars
92,Franco Manca,My favourite pizza place,My favourite pizza place! Best pizza in London for sure - would recommend to anyone who wants quality food in their stomach!,"Jun 7, 2021",Rated 5 out of 5 stars
93,Franco Manca,Luciano made London Lunch visit Fantastic!!!,"Apologise for the delay in my feedback.  Back on May 2021 I decide to take my son out for the day, no-holds bard fun fun fun, we went all-over London or at least what we could fit in.  During the day and as always, you will get peckish and in my sons case bloody hungry, he's stomach on legs.  Any how, as it happened, whilst starting to get that desperate feeling as not knowing where to go for lunch, we were standing outside Franco's.  Right place at the right time.  As we approached the door, we were greeted very courteously & professionally, asked to sanitise hands, scan check-in, then we were seated by the window.  We were handed menu's, ordered drinks, told about the specials etc, nothing new, just great service.  The cheerful guy that served us was extremely good at his job, despite giving some tip that might help him in the future, went by the name 'Luciano'.  Honestly no one could ask for better in how someone could look after their customers.  Having struck conversation with Luciano, just made the whole lunch more worthwhile.  Feeling pretty tired going into the restaurant, its amazing how conversation and a giggle can revitalise guests to crack on and have a great afternoon.  So, YES, my son and I will be going back to Franco Manca's, soon hopefully, food was extremely good, service was exceptional, but Luciano, just made the experience that much better.  Mainly its because having been in lock-down for SO long, just great to talk with another human being.","Aug 20, 2021",
94,Franco Manca,Test and trace...,"This is more a review of Franco Manca’s test and trace app rather than the actual restaurant which is very good and reasonably priced too. However at two local Franco Manca’s recently I have scanned the QR code as requested twice it has said you must be within 500 metres of a Franco Manca restaurant and refuses to continue. Both times I have been directly outside the restaurant. It would be hard to scan the QR code if you were more than 500 metres away from the restaurant. Get this fixed Franco Manca, every other restaurants test and trace app works on my phone so there is no excuse. You could be losing a small fortune over this as I doubt I am the only one. This time your loss was Tesco’s gain!","Oct 27, 2020",Rated 1 out of 5 stars
95,Franco Manca,Had two pizzas delivered last night…dreadful,"Had two pizzas delivered last night from Bedford Hill. They were undercooked, paltry ingredients placed on one side only on the pizzas, and really sloppy. Mine was virtually inedible. A total waste of money.","Updated Oct 3, 2021",Rated 1 out of 5 stars
96,Franco Manca,Really awful,"Really awful, tried the gluten free pizza for the first time - 100% avoid. Have had frozen shop-bought pizzas that were 5x better. The GF dough is like cardboard and has no flavour, shocked Franco Mancaare selling this at the usual price.","Mar 13, 2022",Rated 1 out of 5 stars
97,Franco Manca,Pizza very poor could have got a tesco…,Pizza very poor could have got a tesco one better ordered extra mozzarella dont know where that was or where the cheese was full stop very poor value for money and as for the garlice bread with cheese for £6.50 that was disgusting think the cheese was forgotten again.. Oh and £7.50 for a Buffalo salad what a laugh a ball of mozzarella with cherry tomatoes. Over all a very poor meal for 4 people for £79.70.😡,"Apr 25, 2023",
98,Franco Manca,Burnt Pizza,"I went to Lincoln Franco Manca today.My pizza was completely burnt underneath and half burnt on top.No dairy milk for coffees, no orange juice or pineapple juice. So I ate burnt pizza and drank water. They had the cheek to put service charge on bill automatically. They did refund me.","Jan 7, 2023",Rated 1 out of 5 stars
99,Franco Manca,Avoid  at all cost,"I usually enjoy  Franco Manca, but this restaurant is not fit for purpose. They need   staff who are not rude ! There were 3 waiters standing around chating to the chefs, ignoring customers, we  waited 30 mins for a drink and well over an hour for a pizza. Even getting the bill took 15-20 minutes after first asking. Please staff the restaurant properly. this restaurant is not fit for purpose, they need to hire better staff !As for the food, it's far too  saltey, and the pizza was burnt  with the tomato  sauce  dried on. The starters are excessively large - the rosemary and sea salt pizza dough is an amount of dough equivalent to a pizza. Again, everything is just far too salty. I like the brand and style that Frano Manca is going for but must admit that in terms of the quality of food, pizza express is much better. This is my second dining experience, and I have to say the food has been of similar low standard on both occasions.","Jan 26, 2023",Rated 1 out of 5 stars
100,Franco Manca,Non existent customer awareness,Can’t comment on the food as didn’t get that far as walked into the restaurant and wasn’t even acknowledged. Me and a friend both heavily pregnant were stood waiting to be seated for what seemed like a very long time. No “we’ll be with you in a moment”. We took it upon ourselves to find a table and sit down to then be acknowledged and told we couldn’t sit there as part of the restaurant was closed off due to only two servers working. Was offered another table which was dirty and also not suitable as we both wanted chairs with a back rest opposed to a bench seat. So back to waiting for a table even though I could see there were tables available ready to go. After a bad vibe and first impressions we made the decision to leave as such poor customer service in that first 10mins and appears there are similar reviews re staffs rudeness at this chain. This was Lincoln branch and post lunchtime rush at about 14.30. Word to the wise maybe on a Sunday employ more staff and educate the ones you have on common manners.,"Feb 26, 2023",Rated 1 out of 5 stars
101,Franco Manca,Worst pizza I've ever had,Worst pizza I've ever had. The pizza was half the size it normally was. Tomato sauce was like water and cheese topping was tasteless. If you're feeling the pinch like everyone else then put your prices up and serve decent food but don't try and rip us off with poor quality tat,"Jun 16, 2022",Rated 1 out of 5 stars
102,Franco Manca,Awful experience and service,"I've been to franco manca in a few locations across London. The Wimbledon one was just a terrible experience, and I won't ever come back. I ordered a pizza with Ricotta,mushrooms and ham. The base wasn't crispy, the cheese was off and made me feel sick after the first slice. I left all the rest of the pizza on the plate and the waitress didn't even asked if everything was ok. Horrible service and experience. I have no idea how this place can work in this manner. Do not recommend there are better places for the same price point.","Oct 31, 2022",Rated 1 out of 5 stars
103,Franco Manca,Fantastic pizza restaurant,We visited the Bournemouth Restaurant on Sat 18th March - what an amazing bunch - the staff were really lovely - and the only time we’ve ever tasted pizza that great was when we were in Italy!! Thank you you for a lovely evening .. top Chef :-)) .. thank you to Mirek and the team .. see you again soon .. Andrew and Tomasz :-)) 10/10,"Mar 19, 2023",
104,Franco Manca,The staff in Franco Manca in Cheltenham…,The staff in Franco Manca in Cheltenham were really lovely. Appreciate the good service!,"Jul 2, 2023",Rated 5 out of 5 stars
105,Franco Manca,I love franca manca pizza...but,"I love franca manca pizza, so thought I would try the store bought, from tesco. Very excited...bought 4. But it was like eating cardboard...utterly vile, had to throw them all away. Contacted customer service, got an email back from Rondanini...the most unhelpful reply ever, basically said it was my choice to throw away the pizza and the quality was not their fault","Feb 13, 2023",Rated 1 out of 5 stars
106,Franco Manca,Was shown to a table in the Wimbledon…,"Was shown to a table in the Wimbledon branch and no one came to take our order, even though there was only one other table taken. We had been waiting for ten minutes, and there actually more staff than customers. Then three men came in, and were served straight away. We walked out in disgust.","Feb 2, 2023",
107,Franco Manca,Bad and slow service,Bad and slow service. The glasses on the table dirty and disgusting. Had to leave without eating because we just couldn’t wait any longer. 45 minutes just to order drinks. Restaurant was not busy at the time. Have eaten at a different restaurant 4 years ago and the pizzas are very nice. Gone down hill since they have expanded. Real shame!,"May 22, 2022",Rated 1 out of 5 stars
108,Franco Manca,Had lovely pizza at the Franco Manca’s…,Had lovely pizza at the Franco Manca’s off Oxford street. Service was great. Pizza was hot and tasty. We were two adults and two teens and all very satisfied with food.  Our experience was lovely so I’m surprised to read the bad ones. Maybe it depends which one you go to?,"Nov 1, 2022",Rated 4 out of 5 stars
109,Franco Manca,Terrible service and rude manager.,"Terrible service and rude manager.We went there for a pizza as do every week on Saturday afternoon. Few people arrived after us and were served their pizza. After 35 minutes I saw the waitress and put my hand up to show no pizza. She ran away very quickly. Then suddenly we were assigned a male waiter. I asked him to cancel the order as had taken long. They had obviously forgotten to do our pizzas. Suddenly the rude manager (shaved head and long unhygienic beard) turned up with 2 pizzas and instead of appologising for the delay and issue says "" you want it or not"". Not even an apology for being late and forgetting our order and serving others before us (which could even mean something else...)Terrible place and terrible customer service. We are never going there again and have told my colleagues at the bank I work in Canary Wharf.AVOID FRANCO MANCA","Sep 1, 2021",Rated 1 out of 5 stars
110,Franco Manca,Very disappointed,Very disappointed. Very slow service and poor customer service. Waiter was rude to me and my family when we asked to order. Food took an hour to arrive. Avoid at all costs.Franco Manca in Wimbledon is much better.,"Aug 4, 2022",Rated 1 out of 5 stars
111,Franco Manca,Domenico was our waiter,"Domenico was our waiter, he was lovely! super speedy service, sat down and ate within 20 minutes and amazing food😮‍💨","Mar 2, 2023",
112,Franco Manca,Purchased one of their pizzas from…,"Purchased one of their pizzas from Tescos this evening..Quatro fromage - terrible.Tastless, the bit of cheese on top was as bland as anything..Ended up throwing it in the bin.","Dec 2, 2022",
113,Franco Manca,The WORST service ever,HOVE RESTAURANT….The WORST service ever. Overcharged and the pizza is at best acceptable…no more. It took ages to arrive. The wine was lukewarm and served in a cheap tumbler! Full of kids. No atmosphere. Literally the worst pizza I’ve had in a long time. Over rated. Pizza Express is a million times better!,"Sep 10, 2022",
114,Franco Manca,Tip: Left a sour taste in my mouth,"The pizzas were good and reasonable value. Staff seemed overstretched but our waiter did everything he could to give us a good experience (thank you L).When we had finished I asked if I could give a card tip as I had no cash on me.L told me not to bother because the waiting staff do not get these tips. I had no idea that this was the case and have found out since that only cash tips might get to the staff. This seems very unfair especially as I had previously paid card tips in good faith, expecting them to go to the waiting staff. I don't think many people know this - and probably Franco Manca is not the only restaurant doing this.It all feels a bit dishonest for a brand that sells itself as a zippy, modern company.It will deter me from going again, knowing that the hard-working staff might be being ripped off.Readers: Ask your server what happens to tips and service charges before you pay.","Aug 29, 2022",
115,Franco Manca,Went here for my birthday meal with my…shocking,"Went here for my birthday meal with my family, was so looking forward to a nice meal.service was very slow , starters were nice , homemade lemonade yummy.waited a long time for our pizzas .wow when they finally arrived they were disgusting!! Hardly any topping dry and burnt.so disappointing .i told the waiter we were not happy and to be fair he agreed they should not be the way they were.he didnt charge for pizzas .to be honest no consolation and it was my birthday treat. I have complained to head office just so they know ive had a reply and sent pics.this place really needs to up its game especially when its a treat for people like me i and many others can not afford to eat out .so when i do i want good food.this was the trafford centre branch.","Feb 19, 2023",Rated 1 out of 5 stars
116,Franco Manca,menu is set up to be comfortable for them and not the customer,"you can make pizza as good as you want but if you have an incomprehensible menu you make me nervous and run away before ordering.  I was calm and relaxed when opening the menu first as a worker in hospitality I started laughing but there was to cry because Franco Manca arrived in 2022 to give the numbers to the pizzas instead of the names so that you have to read the ingredients of all pizzas to understand which pizza is what you want and even if you already know which pizza you want because maybe you are Italian you can't order anyway because you have to understand what number they gave them.. for the rest not even 1 Italian beer, terrible coffee and grappa worse. Pizza very very good and service too.","Nov 12, 2022",Rated 1 out of 5 stars
117,Franco Manca,Wonderful food and service & atmosphere,"I love coming in franco manca mosely street, piccadilly.All the staff are  brilliant. I highly recomend here. For a lovely evening out.Maureen","May 11, 2022",Rated 5 out of 5 stars
118,Franco Manca,This people would win the world Nobel…,"King's Cross London. This people would win the world Nobel price to incompetence and rudeness. I wanted to order a large pizza to share with my daughter who didn't want the children's menu, she just wanted a margarita. I wanted meat pizza so I ask the waiter if I could order meat pizza but leave half of it without the meat so half would be margarita. The waiter looked at me like I came from a different planet as said to me ""we don't do that in Italy"", he offered me a large pizza and a kids menu even after I said we don't want that. I reminded the guy that we are in London not Italy and that not putting ingredients on half pizza was very reasonable. I was denied the service so I left. Before reaching the door I tripped with large pieces of pizza on the floor so I accidentally manage to see how dirty was the floor in the whole restaurant.","Updated Nov 14, 2020",
119,Franco Manca,Pathetic,"Pathetic, Went into the Aldwych branch after seeing a brilliant show, I asked a staff member if they could accommodate us, just turned away from me and ??? I stood there like an idiot and eventually confronted him, who RELUCTANTLY motioned with his hand towards a table, it went downhill from there (Incl a dismissive manager), I'm speechless, there's a massive problem there that's not being addressed by management!","Feb 6, 2023",Rated 1 out of 5 stars
120,Franco Manca,Gutted that the new supermarket pizzas…,Gutted that the new supermarket pizzas aren’t made with free-range meat. Could have been their USP. This is one of the things that makes a Franco Manca’s pizza.,"Jun 21, 2023",
121,Franco Manca,"Never been to a Franco Manco before,","Never been to a Franco Manco before,never will again . No good for gluten free as so much flour in the air and chef doesnt change gloves etc.I had a Tuna pizza, served at the same time as my lamb sausage starter ! very limited topping but totally swamped in a sauce all over it, grim.Bottle of prosecco , which you dont even get a wine glass to drink from , let alone a fizz glass! Just same glass as water !Very expensive for what is was, overall very disappointed.","Oct 21, 2022",Rated 1 out of 5 stars
122,Franco Manca,Not sure why other reviews are poor…,Not sure why other reviews are poor although I wonder if they have put their prices up,"Nov 16, 2022",Rated 5 out of 5 stars
123,Franco Manca,Consistently delicious fresh pizza,"Consistently delicious fresh pizza, the chef is great with kids, made ours a heart shaped pizza. Been a few times to ours in Chichester; great staff and best pizza in town .","Jan 2, 2023",Rated 5 out of 5 stars
124,Franco Manca,Rude staff,"Went to the branch in Leeds. Had one of the worst pizzas I've ever tasted, the staff was incredibly rude and dismissive, and hadn't even brought half the order by the time we left.","Feb 26, 2023",Rated 1 out of 5 stars
125,Franco Manca,Just all round disgusting food,Just all round disgusting food. Ordered the garlic bread and all you could taste was the ridiculously thick layer and clumps of herbs on it. Actual pizza was so average and no real taste to it.,"Sep 27, 2021",Rated 1 out of 5 stars
126,Franco Manca,Best eaten at Franco Manco,"Best eaten at Franco Manco. We ordered through Uber Eats Brighton and received an uncut, soggy, tasteless pizza which literally had no toppings.","Dec 21, 2021",
127,Franco Manca,Food is not too bad,"Food is not too bad, bit limited on drinks menu and the amount of cheese or toppings. Covent gardens staff are rude and make you feel very uncomfortable.","Dec 21, 2021",
128,Franco Manca,Such great value and super delicious,Such great value and super delicious. Your service is always amazing and your Pizzas are simply the best. Keep up the good work.,"May 26, 2021",Rated 4 out of 5 stars
129,Franco Manca,Horrible restaurant fr,Waited around 20 minutes to get served even though the restaurant was not busy. The glasses were dirty. The pizza was burnt and the dough was chewy. The tomato base was very watery and there was too much of it. Very limited and overpriced menu. Definitely not coming back. Probably one of the worst pizzas I have ever tasted.,"Jan 30, 2023",Rated 1 out of 5 stars
130,Franco Manca,Excellent food & service,"Excellent food, Fantastic service by Nadoor! Many thanks, will definitely be back soon.","Jun 2, 2023",
131,Franco Manca,Wouldn’t return to St Paul’s location,"Visited the St Paul’s location. Seemed like the staff did not want to be there and anything you asked for was too much trouble and they rolled their eyes. We were seated and it took about 15mins just to order, by this time the table next to us (who came in after us) already had their drinks and their food. We didn’t mind the wait but the food was ok at best. Wouldn’t go back.","Mar 26, 2023",Rated 2 out of 5 stars
132,Franco Manca,Don't blame staff…blame senior management,"Went to the Wimbledon restaurant this afternoon for my birthday with 4 friends. The service was dire and I will never return.I spoke to the manager, and although I gave her my opinion,  she explained that she is understaffed. I can only sympathise with her and the other staff. This is an issue in the hospitality sector and it is sad that Mr Nabil Mankarious and his team are not willing to see this and provide help where it matters. Mr M.. you can either bury your head in your latest results (pat on the back!) and assume the next quarter is the same...and lose your business...or you can help your staff to understand the issues and help out. There is a lot YOU can do. Get out of your ivory tower.Your assets...your staff and customers,  without either you have no business.It was my 1st time and last time at Franco Manca. I am surprised that your staff continue to work under such dire conditions. There are plenty of hospitality jobs available in Wimbledon.","Aug 17, 2022",Rated 1 out of 5 stars
133,Franco Manca,Awfully treated!,"When we were here last time (Muswell Hill branch) we had a bad experience but I always given second chances so we returned today !just wanted to treat my son with a  yummy pizzas after his school....yummy? You bet!!Despite we were the only customer at the restaurant it took an Italian speaking Waiteress to take orders from us  to 10 minutes,They (chefs-waiting staff) were all having a cosy conversation)Whilst we were waiting to be served uber or other delivery bikers picked up their orders each by each so Despite we were the only customers in the Restaurant it took 30 minutes to being served!By then I made my mind up we won't be coming back ! After we finished our meals we were waiting for our dessert orders to be taken but still no luck ! So I had to get up and spoke to a member of the waiting staff kindly  requested an ice cream for my sonYes than the  ice cream served but our main course -pizzas left overs plates were still on the table!Nobody bothered to clear our table!I'm glad that nobody asked me for anything tea-coffee etc:)(Very professional uh:)As soon as my son had his ice cream than we prepared our self paid the bill at the desk rather then waiting for it on the table It was another awful experience for us.PLEASE AVOID!","Updated May 8, 2023",
134,Franco Manca,Racist manger near the Victoria…,Racist manger near the Victoria station. I asked one of the stuff to give me her name and they completely said no and took her side. It made me feel like I’m crazy. Then she and her stuff were giving me dirty looking through out my time there.,"Apr 10, 2023",Rated 1 out of 5 stars
135,Franco Manca,Would never come back,Would never come back. We had to keep hold and reuse cutlery from starter. Starter salad was a Tesco mixed leaf salad bag. Only given one fork. Prosecco served in a sippy cup. Staff were rude. My partner’s pizza came out 10 minutes before mine. Do not come here!!!! Better service in McDonald’s,"Aug 28, 2021",Rated 1 out of 5 stars
136,Franco Manca,A very sorry excuse of a pizza…,"A very sorry excuse of a pizza (Kilburn). Ingredients on barely half the dough. I now we've got got into Tier 4, feeling very sad and annoyed myself, but no excuse for poor service. Avoid!","Dec 19, 2020",Rated 1 out of 5 stars
137,Franco Manca,Takes for bloody ever …!!!!,Takes for bloody ever to get a simple pizza. They cleary give take away orders priority. We waited 1 hour for 2 pizzas at the Franco Manca in Greenwich. Absurd.,"Jun 11, 2023",
138,Franco Manca,Expensive for nothing,Expensive for nothing. They literally have pizzas with no cheese. Not worth the price at all. I regret coming here 13th July 2022,"Jul 14, 2022",Rated 1 out of 5 stars
139,Franco Manca,Franco manca Bournemouth,Franco manca BournemouthMax is the best waiter in the world I wish I had him in my country in Sweden. Thank you so much to him for understanding me!!,"Jun 20, 2023",
140,Franco Manca,Franco Manca Balham branch,"Balham branch. Bloody awful. Service, food, Atrocious. Never again. Not sure why they bother.","Apr 16, 2023",Rated 1 out of 5 stars
141,Franco Manca,"We have been charged extra, given bad service and never received the refund for incorrectly charged items","Hello, I have visited Franco Manco restaurant in South Kensington with my mum on the 22nd July 2023 around 5pm. We had a pizza with a tiramisu and drinks. I don’t always look at the bill but I’m glad I did as they charged us 2 extra items which counted for 30% of the bill value. When I told the staff member, there was no apology and we were told that we have to fill in a form for a refund as this is the policy and then wait up to 5 days for the money to be refunded. My mum was not happy as this has never happened, money is normally refunded straight to the card, especially when this was not our fault - they put random items (extra ice cream and tiramisu) on our bill. When we filled in the form, I asked if there in any proof they can provide and the member of staff just smiled at me that this is a billion dollar company and they refund every customer. I believe this was a manger as the lady was dressed differently; not in uniform, with dark hair. It was not the person who asked for our order. Until today - 3rd of August, the refund was not received. I am very disappointed with the service and basically being robbed. Thanks a was a visit of my mum in London and we never came across situation like this in a restaurant. I have also emailed Franco Manco via their website and have not received any response. I would like to know how I can received this money back and how is this possible to happen in a big chain like this. This is only £10 pounds but as I mentioned it is 30% of the bill, the service provided was horrible, and we have never been refunded. My mum is not from London so she has no way even going back to the restaurant, it is additional time and money and it has been inconvenient enough to deal with this situation. Very disappointing!Unfortunately I don’t see the option to upload attachments to upload the receipts.","Aug 3, 2023",Rated 1 out of 5 stars
142,Franco Manca,BLACKHEATH BRANCH- I took my mum to try…,BLACKHEATH BRANCH- I took my mum to try FM and sorry to say the food was awful they are so stingy with the cheese. Not impressed dont think I will bother to return.,"Apr 23, 2023",Rated 2 out of 5 stars
143,Franco Manca,Lovely meal,We came as a small group over lunch and had limited time available. I explained this to the server and we were served very quickly.The food was also really tasty.,"May 19, 2023",Rated 5 out of 5 stars
144,Franco Manca,Franco Manca,the pizza was amazing as always and the staff were very polite and helpful.,"Jun 14, 2023",
145,Franco Manca,Not recommended. Too greedy!,"I went there with my niece and my girlfriend to celebrate my nieces birthday in Putney. The food was ok but at the end, to my surprise, they came back to me and said that they did  not have change, even if they charge me 10% tip on the bill. It was really embarrassing. I wont go there again... Their tip ended up to be 20% of the bill ant that without being asked if I want to give them a tip or not","May 2, 2022",Rated 2 out of 5 stars
146,Franco Manca,Very disappointing,"Very disappointing, poor quality pizza with minimal toppings and a salad that was mainly stalks from salad leaves. Poor all round","Jul 3, 2022",Rated 1 out of 5 stars
147,Franco Manca,Awful,Awful. Took over an hour and was stone cold when it arrived. It looked like the toppings had been accidentally dropped on the pizza. First and last time I'll order here.,"Dec 17, 2022",Rated 1 out of 5 stars
148,Franco Manca,Disgusting burned food,Disgusting burned food! Wet pizza. Absolutely no regard for customer satisfaction! Photos to prove this. Avoid at all cost!,"Updated Nov 16, 2020",Rated 1 out of 5 stars
149,Franco Manca,Arrived a Tottenham Court Road Franco…,"Arrived a Tottenham Court Road Franco Manco to be welcomed from the worst Manager,  no customer service skills Never again!","Oct 24, 2020",Rated 1 out of 5 stars
150,Franco Manca,Consistently great tasting pizza and great service,Consistently great tasting pizza. Always friendly and helpful when we're dining with children.,"Apr 17, 2021",
151,Franco Manca,Soggy food and all over the place service,"After going to Franco Manca in London a few times I was excited to hear it was coming to Chichester. I was however very disappointed with my experience (which I really hope is just teething problems being newly open). We waited 45 minutes for a table which is understandable with it being new and exciting. But soon after we were seated we had our drinks order taken - these never arrived until our starters were served 25 minutes later. The starters were very pleasant, no issues at all. When our main courses arrived, our pizzas were very soggy - it looked like a glass of water was poured over it. I tried eating a slice but it made me nauseous and could not eat more. When the waitress came over she apologised but told me it’s how it’s supposed to be when made when with buffalo mozzarella - which I’ve never seen this wet before. The base was undercooked and soaked. I’ve had great experiences in Franco Manca before, it’s just a shame that this experience was very poor. I noticed other tables being left unattended and had conversations with other customers who also never received their drinks. We had 3 different waiting staff attend to us so it was clear no one had delegated sections, and no one was focused on drink orders as it was a bit all over the place.I hope they take all feedback on board and can improve their service and dining experience over all as it is generally a good restaurant chain and I’d like to give benefit of the doubt regarding this experience.","Nov 3, 2022",Rated 1 out of 5 stars
152,Franco Manca,"Cocktails are tiny, overpriced.",Pizza was good. Cocktails are tiny. We ordered 2 Aperol Spritz expecting large wine glasses etc. Came in the same  tiny glasses used for tap water. Still charged £6.95 for each.,"Jul 28, 2022",Rated 3 out of 5 stars
153,Franco Manca,Great pizza and venue for a kids party,"We hosted a party for our child at Franco Manca and everything was perfect, the food, the service and the team.","Nov 14, 2021",Rated 5 out of 5 stars
154,Franco Manca,Great food and great service in…,Great food and great service in Chichester.  I’m a regular because I love the sourdough and also it’s great value for money.  The staff are lovely even when it’s very busy.  Love it.,"Mar 4, 2023",Rated 5 out of 5 stars
155,Franco Manca,Franco Manca (South Ken branch) - serving bad vibes with your pizza,"Franco Manca has always been a to-go-to place for pizza cravings around London, and we had exactly that on Sunday 15th Aug after visiting V&A next door.The restaurant was nowhere near full, but we were pointed to a mini table near the kitchen and given a judgemental look when suggesting a 4-seater (many of which were available). We are both 6ft tall and leg space is always appreciated, but of course we would move if larger parties were to come in afterwards. Noone expects a 5* service (just a delicious pizza served with a smile, thank you!), but interactions with the staff were rather unpleasant - it felt like the place was run by teenage girls with no supervision or customer service training. The order arrived quickly, but no-one checked on us throughout dinner and eye contact attempts were proficiently ignored. We ran out of water and could not order anything else as the waitress simply brushed by the table collecting empty glasses/bottle without asking if refill is needed. The bill arrived incorrect and instead of explaining the error proactively, the girl waited for it to be questioned - again, no customer service skills whatsoever (where a simple sincere apology would have done the trick). We paid and left without placing any complaints as this would have been simply pointless and would make the experience even more bitter.All in all - although hospitality is going through a rough time - please train your staff better, service is still about quality not quantity. A smile, as such, costs nothing - even post-pandemic!","Updated Oct 25, 2022",
156,Franco Manca,Soggy Pizza,My gluten free pizza was very soggy and practically inedible. I shan’t be ordering from Franco Manca again,"Aug 16, 2021",Rated 1 out of 5 stars
157,Franco Manca,Great place to eat,Really lovely experience.. food was excellent and our Server Shaq was superb… he was informative and very attentive.. highly recommended the restaurant,"Jun 13, 2023",
158,Franco Manca,franco manca Westfield/White city : TERRIBLE since re-openimg,My fiance and I used to visit regularly before lockdowns and the service and food used to be great. We went to visit again once restaurants re opened and the service and quality of food and portions is terrible. 1) We first ordered a side of olives and only got 5 pieces in the little bowl. Usually the fill the bowl up. 2) We then ordered a side of mozzarella and garlic bread (which is the same price as the pizza) and we barely had any mozzarella on the bread. It was also luke warm when it arrived to the table and not hot like their pizzas and food usually is. 3) the two waitresses were just lazy and looked like they didn't even want to be there or do their job. 4) pizzas arrived luke warm and not straight away from the oven like they normally used to do. And it wasn't even the right order after making us wait 15+ minutes for food. Will not be visiting this branch again. Service and quality has gone down the drain massively. There's no excuse for food to come out warm instead of fresh!,"May 6, 2021",Rated 1 out of 5 stars
